Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,1
gpt-4,infinite,0,2,2,0,0.5,0.0,0.0,0.0,4/5 (80.0%),4,2
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,3
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,4
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,5
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,6
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,7
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,8
gpt-4,infinite,0,3,0,0,1.0,0.0,0.0,0.0,3/5 (60.0%),3,9
gpt-4,infinite,0,2,3,0,0.4,0.0,0.0,0.0,5/5 (100.0%),5,10
ALL,ALL,0,28,5,0,0.8484848484848485,0.0,0.0,0.0,N/A,33,TOTAL
