Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,1
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,2
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,3
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,4
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,5
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,6
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,7
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,8
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,9
gpt-4,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,10
ALL,ALL,0,20,0,10,0.6666666666666666,0.0,0.0,0.0,N/A,30,TOTAL
