Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,livescore,1,1,0,0,1.0,1.0,1.0,1.0,2/4 (50.0%),2,1
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,2
gpt-4,livescore,0,0,0,1,0.0,0.0,0.0,0.0,1/3 (33.3%),1,3
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,4
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,5
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,6
gpt-4,livescore,0,0,0,1,0.0,0.0,0.0,0.0,1/3 (33.3%),1,7
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,8
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,9
gpt-4,livescore,1,0,0,0,1.0,1.0,1.0,1.0,1/3 (33.3%),1,10
ALL,ALL,8,1,0,2,0.8181818181818182,1.0,0.8,0.888888888888889,N/A,11,TOTAL
