Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,adsmartfromsky,0,1,0,2,0.3333333333333333,0.0,0.0,0.0,3/14 (21.4%),3,1
gpt-4,adsmartfromsky,2,5,4,0,0.6363636363636364,0.3333333333333333,1.0,0.5,11/14 (78.6%),11,2
gpt-4,adsmartfromsky,0,0,0,0,0.0,0.0,0.0,0.0,0/14 (0%),0,3
gpt-4,adsmartfromsky,2,1,0,0,1.0,1.0,1.0,1.0,3/14 (21.4%),3,4
gpt-4,adsmartfromsky,0,2,0,2,0.5,0.0,0.0,0.0,4/14 (28.6%),4,5
gpt-4,adsmartfromsky,0,0,4,2,0.0,0.0,0.0,0.0,6/14 (42.9%),6,6
gpt-4,adsmartfromsky,0,4,4,2,0.4,0.0,0.0,0.0,10/14 (71.4%),10,7
gpt-4,adsmartfromsky,2,2,0,0,1.0,1.0,1.0,1.0,4/14 (28.6%),4,8
gpt-4,adsmartfromsky,0,2,4,2,0.25,0.0,0.0,0.0,8/14 (57.1%),8,9
gpt-4,adsmartfromsky,0,0,0,0,0.0,0.0,0.0,0.0,0/14 (0%),0,10
ALL,ALL,6,17,16,10,0.46938775510204084,0.2727272727272727,0.375,0.3157894736842105,N/A,49,TOTAL
