Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,1
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,2
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,3
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,4
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,5
gpt-4,uh.edu,1,0,3,1,0.2,0.25,0.5,0.3333333333333333,5/10 (50.0%),5,6
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,7
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,8
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,9
gpt-4,uh.edu,0,0,0,2,0.0,0.0,0.0,0.0,2/10 (20.0%),2,10
ALL,ALL,1,0,3,19,0.043478260869565216,0.25,0.05,0.08333333333333334,N/A,23,TOTAL
