Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,livescore,0,1,0,0,1.0,0.0,0.0,0.0,1/3 (33.3%),1,1
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,2
gpt-4,livescore,0,1,0,0,1.0,0.0,0.0,0.0,1/3 (33.3%),1,3
gpt-4,livescore,0,1,0,0,1.0,0.0,0.0,0.0,1/3 (33.3%),1,4
gpt-4,livescore,0,1,0,0,1.0,0.0,0.0,0.0,1/3 (33.3%),1,5
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,6
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,7
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,8
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,9
gpt-4,livescore,0,0,1,0,0.0,0.0,0.0,0.0,1/3 (33.3%),1,10
ALL,ALL,0,4,6,0,0.4,0.0,0.0,0.0,N/A,10,TOTAL
