Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,1
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,2
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,3
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,4
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,5
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,6
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,7
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,8
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,9
gpt-4,pexels,0,2,2,0,0.5,0.0,0.0,0.0,4/4 (100.0%),4,10
ALL,ALL,0,20,20,0,0.5,0.0,0.0,0.0,N/A,40,TOTAL
