Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,adsmartfromsky,0,2,0,0,1.0,0.0,0.0,0.0,2/14 (14.3%),2,1
gpt-4,adsmartfromsky,0,3,0,0,1.0,0.0,0.0,0.0,3/14 (21.4%),3,2
gpt-4,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,3
gpt-4,adsmartfromsky,0,5,0,0,1.0,0.0,0.0,0.0,5/15 (33.3%),5,4
gpt-4,adsmartfromsky,0,2,0,0,1.0,0.0,0.0,0.0,2/14 (14.3%),2,5
gpt-4,adsmartfromsky,0,4,0,0,1.0,0.0,0.0,0.0,4/14 (28.6%),4,6
gpt-4,adsmartfromsky,0,2,0,0,1.0,0.0,0.0,0.0,2/14 (14.3%),2,7
gpt-4,adsmartfromsky,0,3,0,0,1.0,0.0,0.0,0.0,3/14 (21.4%),3,8
gpt-4,adsmartfromsky,0,5,4,0,0.5555555555555556,0.0,0.0,0.0,9/14 (64.3%),9,9
gpt-4,adsmartfromsky,0,3,0,0,1.0,0.0,0.0,0.0,3/14 (21.4%),3,10
ALL,ALL,0,36,4,0,0.9,0.0,0.0,0.0,N/A,40,TOTAL
