Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,1
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,2
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,3
gpt-4,blog.collinsdictionary.com,0,1,5,0,0.16666666666666666,0.0,0.0,0.0,6/9 (66.7%),6,4
gpt-4,blog.collinsdictionary.com,0,1,5,0,0.16666666666666666,0.0,0.0,0.0,6/9 (66.7%),6,5
gpt-4,blog.collinsdictionary.com,0,1,5,0,0.16666666666666666,0.0,0.0,0.0,6/9 (66.7%),6,6
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,7
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,8
gpt-4,blog.collinsdictionary.com,0,6,0,0,1.0,0.0,0.0,0.0,6/9 (66.7%),6,9
gpt-4,blog.collinsdictionary.com,0,0,5,0,0.0,0.0,0.0,0.0,5/6 (83.3%),5,10
ALL,ALL,0,39,20,0,0.6610169491525424,0.0,0.0,0.0,N/A,59,TOTAL
