Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,1
gpt-4,uh.edu,7,0,1,0,0.875,0.875,1.0,0.9333333333333333,8/10 (80.0%),8,2
gpt-4,uh.edu,9,0,1,0,0.9,0.9,1.0,0.9473684210526315,10/10 (100.0%),10,3
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,4
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,5
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,6
gpt-4,uh.edu,8,0,0,0,1.0,1.0,1.0,1.0,8/10 (80.0%),8,7
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,8
gpt-4,uh.edu,9,0,0,0,1.0,1.0,1.0,1.0,9/10 (90.0%),9,9
gpt-4,uh.edu,8,0,0,0,1.0,1.0,1.0,1.0,8/10 (80.0%),8,10
ALL,ALL,86,0,2,0,0.9772727272727273,0.9772727272727273,1.0,0.9885057471264368,N/A,88,TOTAL
