Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,livescore,3,0,0,0,1.0,1.0,1.0,1.0,3/4 (75.0%),3,1
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,2
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,3
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,4
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,5
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,6
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,7
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,8
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,9
gpt-4,livescore,3,0,1,0,0.75,0.75,1.0,0.8571428571428571,4/4 (100.0%),4,10
ALL,ALL,30,0,9,0,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913044,N/A,39,TOTAL
