Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,store.steampowered.com,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,3/5 (60.0%),3,1
gpt-4,store.steampowered.com,0,0,0,3,0.0,0.0,0.0,0.0,3/5 (60.0%),3,2
gpt-4,store.steampowered.com,0,0,0,3,0.0,0.0,0.0,0.0,3/5 (60.0%),3,3
gpt-4,store.steampowered.com,0,0,0,3,0.0,0.0,0.0,0.0,3/5 (60.0%),3,4
gpt-4,store.steampowered.com,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,3/5 (60.0%),3,5
gpt-4,store.steampowered.com,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,3/5 (60.0%),3,6
gpt-4,store.steampowered.com,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,3/5 (60.0%),3,7
gpt-4,store.steampowered.com,0,0,0,3,0.0,0.0,0.0,0.0,3/5 (60.0%),3,8
gpt-4,store.steampowered.com,2,0,0,1,0.6666666666666666,1.0,0.6666666666666666,0.8,3/5 (60.0%),3,9
gpt-4,store.steampowered.com,0,0,0,3,0.0,0.0,0.0,0.0,3/5 (60.0%),3,10
ALL,ALL,10,0,0,20,0.3333333333333333,1.0,0.3333333333333333,0.5,N/A,30,TOTAL
