Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,1
gpt-4,infinite,0,4,0,0,1,0,0,0,4/5 (80.0%),4,2
gpt-4,infinite,0,4,0,0,1,0,0,0,4/5 (80.0%),4,3
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,4
gpt-4,infinite,0,4,0,0,1,0,0,0,4/5 (80.0%),4,5
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,6
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,7
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,8
gpt-4,infinite,0,1,0,0,1,0,0,0,1/5 (20.0%),1,9
gpt-4,infinite,0,4,0,0,1,0,0,0,4/5 (80.0%),4,10
ALL,ALL,0,22,0,0,1,0,0,0,N/A,22,TOTAL
