Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,1
gpt-4,blog.collinsdictionary.com,0,0,0,0,0,0,0,0,0/7 (0%),0,2
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,3
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,4
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,5
gpt-4,blog.collinsdictionary.com,0,0,0,0,0,0,0,0,0/7 (0%),0,6
gpt-4,blog.collinsdictionary.com,0,0,0,0,0,0,0,0,0/7 (0%),0,7
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,8
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,9
gpt-4,blog.collinsdictionary.com,0,6,0,0,1,0,0,0,6/9 (66.7%),6,10
ALL,ALL,0,42,0,0,1,0,0,0,N/A,42,TOTAL
