Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,adsmartfromsky,0,8,0,0,1.0,0.0,0.0,0.0,8/14 (57.1%),8,1
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,2
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,3
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,4
gpt-4,adsmartfromsky,0,8,0,0,1.0,0.0,0.0,0.0,8/14 (57.1%),8,5
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,6
gpt-4,adsmartfromsky,0,8,0,0,1.0,0.0,0.0,0.0,8/15 (53.3%),8,7
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,8
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,9
gpt-4,adsmartfromsky,0,1,0,0,1.0,0.0,0.0,0.0,1/14 (7.1%),1,10
ALL,ALL,0,31,0,0,1.0,0.0,0.0,0.0,N/A,31,TOTAL
