Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-4,store.steampowered.com,1,0,0,0,1.0,1.0,1.0,1.0,1/4 (25.0%),1,1
gpt-4,store.steampowered.com,1,0,0,0,1.0,1.0,1.0,1.0,1/4 (25.0%),1,2
gpt-4,store.steampowered.com,3,0,2,0,0.6,0.6,1.0,0.75,5/5 (100.0%),5,3
gpt-4,store.steampowered.com,3,0,0,0,1.0,1.0,1.0,1.0,3/5 (60.0%),3,4
gpt-4,store.steampowered.com,3,0,2,0,0.6,0.6,1.0,0.75,5/5 (100.0%),5,5
gpt-4,store.steampowered.com,3,0,2,0,0.6,0.6,1.0,0.75,5/5 (100.0%),5,6
gpt-4,store.steampowered.com,0,0,0,0,0.0,0.0,0.0,0.0,0/5 (0%),0,7
gpt-4,store.steampowered.com,3,0,2,0,0.6,0.6,1.0,0.75,5/5 (100.0%),5,8
gpt-4,store.steampowered.com,3,0,2,0,0.6,0.6,1.0,0.75,5/5 (100.0%),5,9
gpt-4,store.steampowered.com,3,0,0,0,1.0,1.0,1.0,1.0,3/5 (60.0%),3,10
ALL,ALL,23,0,10,0,0.696969696969697,0.696969696969697,1.0,0.8214285714285715,N/A,33,TOTAL
