Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,1
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,2
gpt-5,infinite,1,3,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,3
gpt-5,infinite,1,3,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,4
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,5
gpt-5,infinite,1,3,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,6
gpt-5,infinite,1,3,0,0,1.0,1.0,1.0,1.0,4/5 (80.0%),4,7
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,8
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,9
gpt-5,infinite,0,3,0,1,0.75,0.0,0.0,0.0,4/5 (80.0%),4,10
ALL,ALL,4,30,0,6,0.85,1.0,0.4,0.5714285714285715,N/A,40,TOTAL
