Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,1
gpt-5,blog.collinsdictionary.com,1,3,0,0,1.0,1.0,1.0,1.0,4/7 (57.1%),4,2
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,3
gpt-5,blog.collinsdictionary.com,1,3,0,0,1.0,1.0,1.0,1.0,4/7 (57.1%),4,4
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,5
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,6
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,7
gpt-5,blog.collinsdictionary.com,1,3,0,0,1.0,1.0,1.0,1.0,4/7 (57.1%),4,8
gpt-5,blog.collinsdictionary.com,1,2,0,0,1.0,1.0,1.0,1.0,3/7 (42.9%),3,9
gpt-5,blog.collinsdictionary.com,0,2,0,1,0.6666666666666666,0.0,0.0,0.0,3/7 (42.9%),3,10
ALL,ALL,9,23,0,1,0.9696969696969697,1.0,0.9,0.9473684210526316,N/A,33,TOTAL
