Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,1
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,2
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/10 (10.0%),1,3
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,4
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,5
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,6
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,7
gpt-5,uh.edu,0,0,0,0,0.0,0.0,0.0,0.0,0/10 (0%),0,8
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,9
gpt-5,uh.edu,1,0,0,0,1.0,1.0,1.0,1.0,1/11 (9.1%),1,10
ALL,ALL,9,0,0,0,1.0,1.0,1.0,1.0,N/A,9,TOTAL
