Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,1
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,2
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,3
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,4
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,5
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,6
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,7
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,8
gpt-5,pexels,0,1,0,1,0.5,0.0,0.0,0.0,2/4 (50.0%),2,9
gpt-5,pexels,0,0,0,0,0.0,0.0,0.0,0.0,0/4 (0%),0,10
ALL,ALL,0,9,0,9,0.5,0.0,0.0,0.0,N/A,18,TOTAL
