Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,adsmartfromsky,2,2,0,0,1.0,1.0,1.0,1.0,4/11 (36.4%),4,1
gpt-5,adsmartfromsky,2,0,5,0,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444444,7/14 (50.0%),7,2
gpt-5,adsmartfromsky,2,5,0,0,1.0,1.0,1.0,1.0,7/14 (50.0%),7,3
gpt-5,adsmartfromsky,2,0,3,0,0.4,0.4,1.0,0.5714285714285714,5/14 (35.7%),5,4
gpt-5,adsmartfromsky,1,0,3,0,0.25,0.25,1.0,0.4,4/14 (28.6%),4,5
gpt-5,adsmartfromsky,2,0,5,0,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444444,7/14 (50.0%),7,6
gpt-5,adsmartfromsky,2,0,5,0,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444444,7/14 (50.0%),7,7
gpt-5,adsmartfromsky,2,0,5,0,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444444,7/14 (50.0%),7,8
gpt-5,adsmartfromsky,2,5,0,0,1.0,1.0,1.0,1.0,7/14 (50.0%),7,9
gpt-5,adsmartfromsky,2,3,0,0,1.0,1.0,1.0,1.0,5/11 (45.5%),5,10
ALL,ALL,19,15,26,0,0.5666666666666667,0.4222222222222222,1.0,0.59375,N/A,60,TOTAL
