Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,1
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,2
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,3
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,4
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,5
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,6
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,7
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,8
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,9
gpt-5,amazon,0,3,0,0,1.0,0.0,0.0,0.0,3/4 (75.0%),3,10
ALL,ALL,0,30,0,0,1.0,0.0,0.0,0.0,N/A,30,TOTAL
