URL,Model,Field,Runs,Eval counts,Most common,Consistency ratio,Benchmark
uh.edu,gpt-5,Search Field (first),10,10×inapplicable,inapplicable,1,inapplicable
uh.edu,gpt-5,Search Field (second),10,10×inapplicable,inapplicable,1,inapplicable
uh.edu,gpt-5,First Name*,10,"9×inapplicable, 1×fail",inapplicable,0.9,inapplicable
uh.edu,gpt-5,Last Name*,10,"9×inapplicable, 1×fail",inapplicable,0.9,inapplicable
uh.edu,gpt-5,Email Address*,10,10×fail,fail,1,fail
uh.edu,gpt-5,Mobile Phone Number*,10,"7×inapplicable, 3×fail",inapplicable,0.7,fail
uh.edu,gpt-5,Date of Birth (Month)(select),10,10×absent,absent,1,fail
uh.edu,gpt-5,Date of Birth (Day)(select),10,10×absent,absent,1,fail
uh.edu,gpt-5,Date of Birth (Year)(select),10,10×absent,absent,1,fail
uh.edu,gpt-5,You plan to enroll as a:(select),10,10×absent,absent,1,fail
uh.edu,gpt-5,When would you like to start classes at UH?(select),10,10×absent,absent,1,fail
