Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,1
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,2
gpt-5,uh.edu,2,0,0,0,1.0,1.0,1.0,1.0,2/11 (18.2%),2,3
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,4
gpt-5,uh.edu,2,0,2,0,0.5,0.5,1.0,0.6666666666666666,4/11 (36.4%),4,5
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,6
gpt-5,uh.edu,2,0,0,0,1.0,1.0,1.0,1.0,2/11 (18.2%),2,7
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,8
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,9
gpt-5,uh.edu,1,0,0,1,0.5,1.0,0.5,0.6666666666666666,2/11 (18.2%),2,10
ALL,ALL,13,0,2,7,0.5909090909090909,0.8666666666666667,0.65,0.7428571428571429,N/A,22,TOTAL
