Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,1
gpt-5,adsmartfromsky,0,6,0,0,1.0,0.0,0.0,0.0,6/14 (42.9%),6,2
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,3
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,4
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,5
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,6
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,7
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,8
gpt-5,adsmartfromsky,0,7,0,0,1.0,0.0,0.0,0.0,7/15 (46.7%),7,9
gpt-5,adsmartfromsky,0,6,0,0,1.0,0.0,0.0,0.0,6/14 (42.9%),6,10
ALL,ALL,0,68,0,0,1.0,0.0,0.0,0.0,N/A,68,TOTAL
