Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,1
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,2
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,3
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,4
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,5
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,6
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,7
gpt-5,zomato,0,1,0,0,1,0,0,0,1/5 (20.0%),1,8
gpt-5,zomato,0,1,0,0,1,0,0,0,1/4 (25.0%),1,9
gpt-5,zomato,0,1,0,0,1,0,0,0,1/5 (20.0%),1,10
ALL,ALL,0,10,0,0,1,0,0,0,N/A,9,TOTAL
