Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,1
gpt-5,amazon,0,2,1,1,0.5,0.0,0.0,0.0,4/5 (80.0%),4,2
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,3
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,4
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,5
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,6
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,7
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,8
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,9
gpt-5,amazon,1,2,1,0,0.75,0.5,1.0,0.6666666666666666,4/5 (80.0%),4,10
ALL,ALL,9,20,10,1,0.725,0.47368421052631576,0.9,0.6206896551724138,N/A,40,TOTAL
