Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/16 (87.5%),14,1
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/15 (93.3%),14,2
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/16 (87.5%),14,3
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/17 (82.4%),14,4
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/16 (87.5%),14,5
gpt-5,adsmartfromsky,0,7,7,0,0.5,0.0,0.0,0.0,14/16 (87.5%),14,6
gpt-5,adsmartfromsky,0,7,6,0,0.5384615384615384,0.0,0.0,0.0,13/16 (81.2%),13,7
gpt-5,adsmartfromsky,0,7,7,0,0.5,0.0,0.0,0.0,14/16 (87.5%),14,8
gpt-5,adsmartfromsky,0,11,3,0,0.7857142857142857,0.0,0.0,0.0,14/15 (93.3%),14,9
gpt-5,adsmartfromsky,0,12,2,0,0.8571428571428571,0.0,0.0,0.0,14/16 (87.5%),14,10
ALL,ALL,0,104,35,0,0.7482014388489209,0.0,0.0,0.0,N/A,139,TOTAL
