Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,1
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,2
gpt-5,amazon,0,4,0,0,1.0,0.0,0.0,0.0,4/5 (80.0%),4,3
gpt-5,amazon,0,4,0,0,1.0,0.0,0.0,0.0,4/5 (80.0%),4,4
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,5
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,6
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,7
gpt-5,amazon,0,4,0,0,1.0,0.0,0.0,0.0,4/5 (80.0%),4,8
gpt-5,amazon,0,4,0,0,1.0,0.0,0.0,0.0,4/5 (80.0%),4,9
gpt-5,amazon,0,3,1,0,0.75,0.0,0.0,0.0,4/5 (80.0%),4,10
ALL,ALL,0,34,6,0,0.85,0.0,0.0,0.0,N/A,40,TOTAL
