Model,URL,True Positives,True Negatives,False Positives,False Negatives,Accuracy,Precision,Recall,F1-score,Coverage,Total samples used,Run ID
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,1
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,2
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,3
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,4
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,5
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,6
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,7
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,8
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,9
gpt-5,uh.edu,0,9,0,0,1.0,0.0,0.0,0.0,9/11 (81.8%),9,10
ALL,ALL,0,90,0,0,1.0,0.0,0.0,0.0,N/A,90,TOTAL
