page,URL,Field,Runs,benchmark,field_accuracy,is_consistent
amazon,amazon,Your name (text),10,pass,0.7,False
amazon,amazon,No Label (select),8,,,True
amazon,amazon,Mobile number or email ,10,pass,0.6,False
amazon,amazon,Password,10,pass,0.6,False
amazon,amazon,Re-enter password (password),10,pass,0.5,False
bible,infinite,First Name,10,pass,1.0,True
bible,infinite,Organization,10,pass,0.4,False
bible,infinite,Website,10,inapplicable,0.4,False
bible,infinite,Email,10,pass,0.4,False
bible,infinite,Last Name,4,pass,1.0,False
cricbuzz,cricbuzz,Name,10,pass,0.9,False
cricbuzz,cricbuzz,Email,10,pass,0.6,False
cricbuzz,cricbuzz,Subject,10,pass,0.6,False
cricbuzz,cricbuzz,No Label (textarea) [Message],10,pass,0.6,False
cricbuzz,cricbuzz,"(jpg,png,gif,bmp)",10,inapplicable,0.7,False
dictionary,blog.collinsdictionary.com,Search,10,,,True
dictionary,blog.collinsdictionary.com,First,10,pass,0.7,False
dictionary,blog.collinsdictionary.com,Last,10,pass,0.7,False
dictionary,blog.collinsdictionary.com,Email *,10,pass,0.7,False
dictionary,blog.collinsdictionary.com,Subject *,10,pass,0.7,False
dictionary,blog.collinsdictionary.com,Add more subject detail,10,inapplicable,0.7,False
dictionary,blog.collinsdictionary.com,Comment or Message *,7,pass,1.0,True
dictionary,blog.collinsdictionary.com,Email (2),7,,,True
dictionary,blog.collinsdictionary.com,No Label,7,,,True
houston,uh.edu,Search Field (text),10,inapplicable,1.0,True
houston,uh.edu,First Name*,10,pass,0.9,False
houston,uh.edu,Last Name*,10,pass,0.9,False
houston,uh.edu,Month (select),10,pass,0.9,False
houston,uh.edu,Day (select),10,pass,0.9,False
houston,uh.edu,Year (select),10,pass,0.9,False
houston,uh.edu,Email Address*,10,pass,0.9,False
houston,uh.edu,Mobile Phone Number*,10,pass,0.9,False
houston,uh.edu,You plan to enroll as a:,10,pass,0.9,False
houston,uh.edu,When would you like to start classes at UH?*,10,pass,0.9,False
livescore,livescore,Email address (text),10,fail,1.0,True
livescore,livescore,Please select a subject (checkbox),3,,,True
livescore,livescore,Message (textarea),10,fail,0.3,False
livescore,livescore,Subject (select),10,fail,0.2,False
pexels,pexels,First name,10,fail,1.0,True
pexels,pexels,Email,10,fail,0.0,True
pexels,pexels,Last name,10,fail,0.0,True
pexels,pexels,Password,10,fail,0.0,True
sky,adsmartfromsky,Your first name (text),10,pass,1.0,True
sky,adsmartfromsky,Your surname (text),10,pass,0.3,False
sky,adsmartfromsky,Company name (text),10,pass,0.3,False
sky,adsmartfromsky,Location (text),10,pass,0.3,False
sky,adsmartfromsky,Telephone (tel),10,pass,0.3,False
sky,adsmartfromsky,Email (email),10,pass,0.3,False
sky,adsmartfromsky,How did you hear about AdSmart? (select),10,pass,0.3,False
sky,adsmartfromsky,Please specify (text),3,,,True
sky,adsmartfromsky,Any comments regarding AdSmart or your business? (textarea),10,pass,0.3,False
sky,adsmartfromsky,Direct advertiser (radio),10,fail,0.0,True
sky,adsmartfromsky,Other (radio),10,fail,0.0,True
sky,adsmartfromsky,Phone (radio),10,fail,0.0,True
sky,adsmartfromsky,AdSmart from Sky updates (checkbox),10,inapplicable,0.0,True
sky,adsmartfromsky,Agency (radio),10,fail,0.0,True
steam,store.steampowered.com,Email Address,10,fail,0.9,False
steam,store.steampowered.com,Country of Residence (select),10,inapplicable,0.2,False
steam,store.steampowered.com,Confirm your address,10,fail,0.7,False
steam,store.steampowered.com,I am 13 years of age or older and agree to the terms of the Steam Subscriber Agreement and the Valve Privacy Policy. (checkbox),10,fail,0.7,False
steam,store.steampowered.com,Search the store,8,,,False
zomato,zomato,Phone number,10,pass,0.0,True
zomato,zomato,Name,10,pass,0.0,True
zomato,zomato,City,10,inapplicable,1.0,True
zomato,zomato,Consent,10,pass,0.0,False
zomato,zomato,Filter By City,7,,,True
